Position,Team,Mp,Pts,Top scorer,Gls/90
1,Arsenal,30,67,,
2,Manchester City,29,60,,
3,Manchester Utd,29,51,,
4,Aston Villa,29,51,,
5,Chelsea,29,48,,
6,Liverpool,29,48,,
7,Brentford,29,44,,
8,Everton,29,43,,
9,Bournemouth,29,40,,
10,Fulham,29,40,,
11,Sunderland,29,40,,
12,Newcastle United,29,39,,
13,Crystal Palace,29,38,,
14,Brighton,29,37,,
15,Leeds United,29,31,,
16,Tottenham Hotspur,29,29,,
17,Nottingham Forest,29,28,,
18,West Ham United,29,28,,
19,Burnley,29,19,,
20,Wolves,30,16,,
